,path,file,prerequisite
34,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\Dragon’s Crushing Gaze.md,Dragon’s Crushing Gaze,Cloud-Piercing Focus
35,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\Dragon’s Twitching Whisker.md,Dragon’s Twitching Whisker,Dragon’s Crushing Gaze
36,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\Essence Disruption Attack.md,Essence Disruption Attack,Sense-Destroying Method
37,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\Feeling the Dragon’s Bones.md,Feeling the Dragon’s Bones,All-Encompassing Earth Sense
38,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\One-With-Earth Embodiment.md,One-With-Earth Embodiment,Feeling the Dragon’s Bones
39,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\Sense the Hidden Ember.md,Sense the Hidden Ember,Feeling the Dragon’s Bones
40,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\Sense-Destroying Method.md,Sense-Destroying Method,Sense-Riding Technique
41,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\Sense-Riding Technique.md,Sense-Riding Technique,Feeling the Dragon’s Bones
42,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Become the Wave.md,Become the Wave,Hammering Wave Technique
43,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Crushing Avalanche Grasp.md,Crushing Avalanche Grasp,Inescapable Whirlpool Hold
44,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Currents Sweep to Sea.md,Currents Sweep to Sea,Water Dragon’s Coils
45,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Drowning Embrace.md,Drowning Embrace,Waves Swallow the Mountain
46,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Entangling Roots Embrace.md,Entangling Roots Embrace,Oaken Thew Exertion
47,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Fist-Spinning Maelstrom.md,Fist-Spinning Maelstrom,Hammering Wave Technique
48,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Hammering Wave Technique.md,Hammering Wave Technique,Pounding Surf Style
49,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Hanging Tree Technique.md,Hanging Tree Technique,Entangling Roots Embrace
50,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Hanging Tree Technique.md,Hanging Tree Technique,Fist-Spinning Maelstrom
51,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Inescapable Whirlpool Hold.md,Inescapable Whirlpool Hold,Water Dragon’s Coils
52,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Oaken Thew Exertion.md,Oaken Thew Exertion,Pounding Surf Style
53,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Oaken Thew Exertion.md,Oaken Thew Exertion,Water Dragon’s Coils
54,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Rolling Boulder Blow.md,Rolling Boulder Blow,Stone Fist Strike
55,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Smashing Tidal Wave Technique.md,Smashing Tidal Wave Technique,Drowning Embrace
56,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Swift-Striking Tide.md,Swift-Striking Tide,Become the Wave
57,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Brawl\Waves Swallow the Mountain.md,Waves Swallow the Mountain,Currents Sweep to Sea
58,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Bestow the Saffron Mantle.md,Bestow the Saffron Mantle,Benevolent Master’s Blessing
59,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Blazing Hoard of Hesiesh.md,Blazing Hoard of Hesiesh,Thoughtful Gift Technique
60,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Dashing Brook Method.md,Dashing Brook Method,Benevolent Master’s Blessing
61,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Distraction of the Babbling Brook.md,Distraction of the Babbling Brook,Thoughtful Gift Technique
62,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Drowning in Negotiation Style.md,Drowning in Negotiation Style,Distraction of the Babbling Brook
63,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Flowing Authority Insinuation.md,Flowing Authority Insinuation,Thrashing Carp Serenade
64,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Following the River’s Course.md,Following the River’s Course,Dashing Brook Method
65,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Following the River’s Course.md,Following the River’s Course,Finding The Water’s Depths
66,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Sea-Changed Secrets.md,Sea-Changed Secrets,Water-Stained Ledger
67,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Shells-for-Silver Ruse.md,Shells-for-Silver Ruse,Water-Stained Ledger
68,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Sowing the Dragon’s Teeth.md,Sowing the Dragon’s Teeth,Sprouting Bamboo Cultivation
69,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Sprouting Bamboo Cultivation.md,Sprouting Bamboo Cultivation,Dashing Brook Method
70,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Testing the Waters.md,Testing the Waters,Finding The Water’s Depths
71,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Thoughtful Gift Technique.md,Thoughtful Gift Technique,Finding The Water’s Depths
72,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Thrashing Carp Serenade.md,Thrashing Carp Serenade,Dashing Brook Method
73,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Thrashing Carp Serenade.md,Thrashing Carp Serenade,Water-Stained Ledger
74,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Unshakable Mountain Management.md,Unshakable Mountain Management,Testing the Waters
75,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Bureaucracy\Water-Stained Ledger.md,Water-Stained Ledger,Confluence of Savant Thought
76,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Flawless Facet Realization.md,Flawless Facet Realization,Shaping Hand Style
77,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Forge-Hand Prana.md,Forge-Hand Prana,Shaping Hand Style
78,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Forge-Hand Prana.md,Forge-Hand Prana,Touch of Unmaking
79,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Shaping Hand Style.md,Shaping Hand Style,Stone-Carving Fingers
80,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Stoking Inspiration’s Forge.md,Stoking Inspiration’s Forge,Talents-to-Obols Refinement
81,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Stones-from-Rubble Restoration.md,Stones-from-Rubble Restoration,Flaw-Finding Examination
82,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Strike the Dragon-Anvil.md,Strike the Dragon-Anvil,Flawless Facet Realization
83,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Craft\Touch of Unmaking.md,Touch of Unmaking,Stones-from-Rubble Restoration
84,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Bonfire Shadow Evasion.md,Bonfire Shadow Evasion,Ember-Amid-Smoke Misdirection
85,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Coiling Dragon Dance.md,Coiling Dragon Dance,Bonfire Shadow Evasion
86,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Ebbing Tide Recedes.md,Ebbing Tide Recedes,Heat-of-Battle Advance
87,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Elusive Crosswind Defense.md,Elusive Crosswind Defense,Hopping Firecracker Evasion
88,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Elusive Dragon-God Dispersion.md,Elusive Dragon-God Dispersion,Unassailable Body of Fire
89,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Ember-Amid-Smoke Misdirection.md,Ember-Amid-Smoke Misdirection,Flickering Candle Meditation
90,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Hopping Firecracker Evasion.md,Hopping Firecracker Evasion,Flickering Candle Meditation
91,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Unassailable Body of Fire.md,Unassailable Body of Fire,Hopping Firecracker Evasion
92,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Dodge\Virtuous Negation Defense.md,Virtuous Negation Defense,Hopping Firecracker Evasion
93,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\Inviolate Dragon Spirit.md,Inviolate Dragon Spirit,Heart-Hardening Meditation
94,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\Ten Thousand Dragons Fight as One.md,Ten Thousand Dragons Fight as One,Oath of the Ten Thousand Dragons
95,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\The Mountain Still Stands.md,The Mountain Still Stands,Thicker Than Stone
96,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\Thicker Than Stone.md,Thicker Than Stone,Inviolate Dragon Spirit
97,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\Thicker Than Stone.md,Thicker Than Stone,Ten Thousand Dragons Fight as One
98,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\Unflagging Vengeance Meditation.md,Unflagging Vengeance Meditation,Ten Thousand Dragons Fight as One
99,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\Unquenchable Battle-Passion.md,Unquenchable Battle-Passion,Inviolate Dragon Spirit
100,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Integrity\Wound-Denying Dragon Faith.md,Wound-Denying Dragon Faith,Ten Thousand Dragons Fight as One
101,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\A Face in the Fog.md,A Face in the Fog,Revelation-of-Associates Hunch
102,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\A Face in the Fog.md,A Face in the Fog,Tenacious Flowing Truths
103,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Bloodhound’s Nose Technique.md,Bloodhound’s Nose Technique,Scent-of-Crime Method
104,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Clear Water Prana.md,Clear Water Prana,Tenacious Flowing Truths
105,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Echoes Caught in Stone.md,Echoes Caught in Stone,Bloodhound’s Nose Technique
106,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Falsehood-Unearthing Attitude.md,Falsehood-Unearthing Attitude,Heart-Maze Navigation
107,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Foul Stench of Lies Discernment.md,Foul Stench of Lies Discernment,Falsehood-Unearthing Attitude
108,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Heart-Maze Navigation.md,Heart-Maze Navigation,Scent-of-Crime Method
109,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Homeward Trail Discovery Method.md,Homeward Trail Discovery Method,Scent of the Stranger’s Threshold
110,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Inescapable Wave Insight.md,Inescapable Wave Insight,River-of-Memory Meditation
111,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Revelation-of-Associates Hunch.md,Revelation-of-Associates Hunch,Scent-of-Crime Method
112,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\River-of-Memory Meditation.md,River-of-Memory Meditation,A Face in the Fog
113,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\River-of-Memory Meditation.md,River-of-Memory Meditation,Bloodhound’s Nose Technique
114,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Scent of the Stranger’s Threshold.md,Scent of the Stranger’s Threshold,Bloodhound’s Nose Technique
115,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Scent-of-Crime Method.md,Scent-of-Crime Method,Permeating Insight
116,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Shadow-Immolating Talon.md,Shadow-Immolating Talon,Heart-Maze Navigation
117,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Investigation\Tenacious Flowing Truths.md,Tenacious Flowing Truths,Tampering-Detection Technique
118,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Artful Flowing Theft.md,Artful Flowing Theft,Nimble Thief’s Fingers
119,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Artful Flowing Theft.md,Artful Flowing Theft,Observer Awareness Method
120,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Bramble Purse Technique.md,Bramble Purse Technique,Observer Awareness Method
121,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Dragon’s Hidden Treasure.md,Dragon’s Hidden Treasure,Naked Thief Style
122,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Evidence-Erasing Tide.md,Evidence-Erasing Tide,Resetting Tumblers Technique
123,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Expectation-Mirroring Stance.md,Expectation-Mirroring Stance,Face-Stealing Reflection
124,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Exploding Evidence Technique.md,Exploding Evidence Technique,Investigation-Deflecting Current
125,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Face-Stealing Reflection.md,Face-Stealing Reflection,Flowing Body Disguise
126,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Face-Stealing Reflection.md,Face-Stealing Reflection,Observer Awareness Method
127,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Flowing God-Dragon Stance.md,Flowing God-Dragon Stance,Artful Flowing Theft
128,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Flowing God-Dragon Stance.md,Flowing God-Dragon Stance,Evidence-Erasing Tide
129,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Incendiary Accusation Approach.md,Incendiary Accusation Approach,Waters-of-Honesty Method
130,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Infallible Alibi Approach.md,Infallible Alibi Approach,Exploding Evidence Technique
131,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Instant Disguise Prana.md,Instant Disguise Prana,Flowing Body Disguise
132,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Investigation-Deflecting Current.md,Investigation-Deflecting Current,Evidence-Erasing Tide
133,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Mischievous Wind Grasp.md,Mischievous Wind Grasp,Artful Flowing Theft
134,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Naked Thief Style.md,Naked Thief Style,Resetting Tumblers Technique
135,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Rose-Among-Thorns Distinction.md,Rose-Among-Thorns Distinction,Observer Awareness Method
136,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Vaporous Visage Evasion.md,Vaporous Visage Evasion,Instant Disguise Prana
137,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Waters-of-Honesty Method.md,Waters-of-Honesty Method,Observer Awareness Method
138,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Whispering Thief Technique.md,Whispering Thief Technique,Observer Awareness Method
139,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Larceny\Window-In-The-Door Technique.md,Window-In-The-Door Technique,Mischievous Wind Grasp
140,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Caustic Wit Invective.md,Caustic Wit Invective,Fervor-Inciting Brushstrokes
141,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Dragon’s Voice Mastery.md,Dragon’s Voice Mastery,Poisoned Tongue Technique
142,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Enigma-Reading Eye.md,Enigma-Reading Eye,Cryptic Essence Cipher
143,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Incendiary Argument Approach.md,Incendiary Argument Approach,Caustic Wit Invective
144,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Intoxicating Lotus Manuscript.md,Intoxicating Lotus Manuscript,Enthralling Lotus Calligraphy
145,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Poisoned Tongue Technique.md,Poisoned Tongue Technique,Voices on the Wind
146,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Reading the Unspoken Word.md,Reading the Unspoken Word,Speech Without Words
147,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Speech Without Words.md,Speech Without Words,Voices on the Wind
148,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Tantalizing Dragon’s Tongue.md,Tantalizing Dragon’s Tongue,Incendiary Argument Approach
149,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Thousand Tongues Meditation.md,Thousand Tongues Meditation,Language-Learning Ritual
150,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\Voices on the Wind.md,Voices on the Wind,Wind-Carried Words Technique
151,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\With One Mind.md,With One Mind,Dragon’s Voice Mastery
152,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Linguistics\With One Mind.md,With One Mind,Speech Without Words
153,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Dragon Vortex Attack.md,Dragon Vortex Attack,Elemental Burst Technique
154,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Dragon Vortex Attack.md,Dragon Vortex Attack,The Wind Turns
155,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Dragon-Kin Empowerment.md,Dragon-Kin Empowerment,Elemental Concentration Trance
156,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Elemental Bolt Attack.md,Elemental Bolt Attack,Elemental Concentration Trance
157,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Elemental Burst Technique.md,Elemental Burst Technique,Elemental Bolt Attack
158,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Elemental Empowerment Meditation.md,Elemental Empowerment Meditation,Elemental Concentration Trance
159,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Elemental Succor Method.md,Elemental Succor Method,Elemental Empowerment Meditation
160,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Endless Coils Enlightenment.md,Endless Coils Enlightenment,Eternal Mind Meditation
161,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Eternal Mind Meditation.md,Eternal Mind Meditation,Lightning Flash Inspiration
162,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Flawless Study Focus.md,Flawless Study Focus,Opening the Mind’s Gates
163,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Fulminating Thunderhead Brilliance.md,Fulminating Thunderhead Brilliance,Lightning Flash Inspiration
164,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Glorious Birthright Font.md,Glorious Birthright Font,Elemental Succor Method
165,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Lightning Flash Inspiration.md,Lightning Flash Inspiration,Flawless Study Focus
166,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Sagacious Elder’s Instruction.md,Sagacious Elder’s Instruction,Opening the Mind’s Gates
167,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Stern Tutor Discipline.md,Stern Tutor Discipline,Sagacious Elder’s Instruction
168,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\The Wind Turns.md,The Wind Turns,Glorious Birthright Font
169,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Lore\Thunderstruck Charlatan Imprecation.md,Thunderstruck Charlatan Imprecation,Lightning Flash Inspiration
170,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Medicine\Death-Defying Endeavor.md,Death-Defying Endeavor,Ailment-Sensing Meditation
171,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Medicine\Dread Infection Strike.md,Dread Infection Strike,Indomitable Vitality Discipline
