,path,file,prerequisite
11,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Faith's Pillar\Orison of Thunder.md,Orison of Thunder, Dragons Provide
12,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Faith's Pillar\Pasiap’s Gentle Embrace.md,Pasiap’s Gentle Embrace,Iniquity’s Reward
13,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Heavenly Typhoon\Demon-Slaying Zealot’s Mantra.md,Demon-Slaying Zealot’s Mantra, Righteous Enemy-Slaying Strike
14,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Heavenly Typhoon\Searing Wind-Razor Bolt.md,Searing Wind-Razor Bolt, Demon-Slaying Zealot’s Mantra
15,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Heavenly Typhoon\Standing in the Storm’s Eye.md,Standing in the Storm’s Eye,Storm-Shield Bulwark
16,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Heavenly Typhoon\Storm-Shield Bulwark.md,Storm-Shield Bulwark, Seed and Salt Warding
17,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Heavenly Typhoon\Ten Thousand Typhoon Burst.md,Ten Thousand Typhoon Burst, Searing Wind-Razor Bolt
18,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Horizon Cleaver\Arcing Death Strike.md,Arcing Death Strike, Brilliant Reproach
19,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Horizon Cleaver\Intemperate Tempest Fusillade.md,Intemperate Tempest Fusillade, Arcing Death Strike
20,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Horizon Cleaver\Maelstrom-Taming Warrior’s Code.md,Maelstrom-Taming Warrior’s Code,On Wings of Deadly Lightning
21,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Horizon Cleaver\On Wings of Deadly Lightning.md,On Wings of Deadly Lightning, Arcing Death Strike
22,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Imprimatur\Sibling-Humbling Placation.md,Sibling-Humbling Placation, As Two Strangers Upon the Road
23,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Imprimatur\The Final Words of Queens.md,The Final Words of Queens, The Matchmaker’s Cockerel Stride
24,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Imprimatur\The Matchmaker’s Cockerel Stride.md,The Matchmaker’s Cockerel Stride, Sibling-Humbling Placation
25,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Imprimatur\Youngest Son’s Inheritance.md,Youngest Son’s Inheritance, Sibling-Humbling Placation
26,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Perdurant Vault\Banish the Afflictions.md,Banish the Afflictions,Unblemished Petal Prana
27,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Perdurant Vault\Protect the Empress.md,Protect the Empress, Subliminal Sanctuary
28,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Perdurant Vault\Subliminal Sanctuary.md,Subliminal Sanctuary, Clairvoyant Mirror Technique
29,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Pyre of Legions\All-Consuming Guardian Stance.md,All-Consuming Guardian Stance,Loyalty-Kindling Warmth
30,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Pyre of Legions\Army-Routing Aegis.md,Army-Routing Aegis,All-Consuming Guardian Stance
31,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Pyre of Legions\Ashes Feed the Seeds.md,Ashes Feed the Seeds,Somber Pyre Conflagration
32,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Pyre of Legions\Somber Pyre Conflagration.md,Somber Pyre Conflagration,Army-Routing Aegis
33,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Pyre of Legions\Unstoppable Heart-Stoking Incandescence.md,Unstoppable Heart-Stoking Incandescence,Army-Routing Aegis
34,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Sea's Verdict\Awaken the Tide.md,Awaken the Tide,Lost Blade Riptide
35,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Sea's Verdict\From the Depths.md,From the Depths, Elemental Sheath
36,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Sea's Verdict\Gaol Without Fathom.md,Gaol Without Fathom, Awaken the Tide
37,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Sea's Verdict\Hull-Breaking Tsunami Swipe.md,Hull-Breaking Tsunami Swipe, Kraken’s Gavel
38,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Sea's Verdict\Lost Blade Riptide.md,Lost Blade Riptide, Hull-Breaking Tsunami Swipe
39,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Sea's Verdict\Thunder of the Abyss.md,Thunder of the Abyss, Gaol Without Fathom
40,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Smiling Razors\Coiling-Smoke-Plume Deception.md,Coiling-Smoke-Plume Deception,Vanishing Wind-Body Technique
41,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Smiling Razors\Drifting Smoke-Cloud Passage.md,Drifting Smoke-Cloud Passage, Inviting Fireside Distraction
42,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Smiling Razors\Inviting Fireside Distraction.md,Inviting Fireside Distraction, Rose-Among-Thorns Distinction
43,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Smiling Razors\Searing Pain Infliction Tactic.md,Searing Pain Infliction Tactic, Still-Burning Ember Ambush
44,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Smiling Razors\Soul-Burning Mark.md,Soul-Burning Mark, Searing Pain Infliction Tactic
45,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Vengeant\Breath-Denying Vengeance Current.md,Breath-Denying Vengeance Current, Earth-Eroding Tactic
46,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Vengeant\Dragon-Shattering Restitution.md,Dragon-Shattering Restitution, Hundred-Generation Forest Desecration
47,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Vengeant\Drink the Lesser Seas.md,Drink the Lesser Seas, Ember-Smothering Convolution
48,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Vengeant\Earth-Eroding Tactic.md,Earth-Eroding Tactic, Still Waters Hide Fury
49,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Vengeant\Ember-Smothering Convolution.md,Ember-Smothering Convolution, Still Waters Hide Fury
50,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Vengeant\Hundred-Generation Forest Desecration.md,Hundred-Generation Forest Desecration,Breath-Denying Vengeance Current
51,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\White Lizard’s Tongue\Aurochs-King Prowess.md,Aurochs-King Prowess,Items/Artifacts & Evocations/Heirlooms of Power/White Lizard’s Tongue/Master Herder’s Brand
52,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\White Lizard’s Tongue\Demon-Wrangling Rope Trick.md,Demon-Wrangling Rope Trick,Items/Artifacts & Evocations/Heirlooms of Power/White Lizard’s Tongue/Master Herder’s Brand
53,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\White Lizard’s Tongue\Find the Stray Calf.md,Find the Stray Calf,Items/Artifacts & Evocations/Heirlooms of Power/White Lizard’s Tongue/Master Herder’s Brand
54,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\White Lizard’s Tongue\Scourge of Rustlers.md,Scourge of Rustlers,Items/Artifacts & Evocations/Heirlooms of Power/White Lizard’s Tongue/Master Herder’s Brand
55,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\White Lizard’s Tongue\Stampede-Quelling Assurance.md,Stampede-Quelling Assurance,Items/Artifacts & Evocations/Heirlooms of Power/White Lizard’s Tongue/Find the Stray Calf
56,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\White Lizard’s Tongue\World-Shaking Whipcrack.md,World-Shaking Whipcrack,Items/Artifacts & Evocations/Heirlooms of Power/White Lizard’s Tongue/Scourge of Rustlers
57,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Blazerider\Devastating Fire-Vortex Blitz.md,Devastating Fire-Vortex Blitz,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/Blazerider/Searing Afterimage Evasion
58,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Blazerider\Dragon’s Blazing Wake.md,Dragon’s Blazing Wake,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/Blazerider/Racing Flame Method
59,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Blazerider\Racing Flame Method.md,Racing Flame Method,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/Blazerider/Flying Dragon Fang
60,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Blazerider\Searing Afterimage Evasion.md,Searing Afterimage Evasion,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/Blazerider/Racing Flame Method
61,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Blazerider\Swift Flame-Rider Spirit.md,Swift Flame-Rider Spirit,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/Blazerider/Flying Dragon Fang
62,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Empyrean Aegis\Brumal Rime Barrier.md,Brumal Rime Barrier, Guardian Gale Technique
63,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Empyrean Aegis\Freezing Glacier Strike.md,Freezing Glacier Strike, Guardian Gale Technique
64,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Empyrean Aegis\Sudden Squall Interception.md,Sudden Squall Interception, Guardian Gale Technique
65,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Empyrean Aegis\Thunder Follows Lightning.md,Thunder Follows Lightning, Freezing Glacier Strike
66,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Empyrean Aegis\Whirling Shield Tempest.md,Whirling Shield Tempest, Guardian Gale Technique
67,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Fivefold Dragons’ Grasp\All-Under-Heaven Unity.md,All-Under-Heaven Unity,Five-Dragon Harmony
68,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Fivefold Dragons’ Grasp\Ascendant Omphalos Avatar.md,Ascendant Omphalos Avatar, All-Under-Heaven Unity
69,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Fivefold Dragons’ Grasp\Elemental Lens Refraction.md,Elemental Lens Refraction, Elemental Bolt Attack
70,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Fivefold Dragons’ Grasp\Five-Dragon Harmony.md,Five-Dragon Harmony,Walking in the Dragons’ Footsteps
71,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Fivefold Dragons’ Grasp\Inverted Cycle Attainment.md,Inverted Cycle Attainment, Walking in the Dragons’ Footsteps
72,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Fivefold Dragons’ Grasp\Radiant Dragon Mandala.md,Radiant Dragon Mandala,Mantle of Elemental Power
73,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Glacial Mantle\Glacier Bulwark Fortification.md,Glacier Bulwark Fortification, Harvest-Killing Frost
74,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Glacial Mantle\Harvest-Killing Frost.md,Harvest-Killing Frost, Unleashing Winter’s Heart
75,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Glacial Mantle\Mela’s Frozen Legion.md,Mela’s Frozen Legion,Winter
76,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Glacial Mantle\Unleashing Winter’s Heart.md,Unleashing Winter’s Heart, Frozen Aegis
77,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Glacial Mantle\Winter Brings Death.md,Winter Brings Death,Tundra-Conquering Strategos
78,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Majestic Nightmare Visage\Becoming Midnight’s Childe.md,Becoming Midnight’s Childe, A Stranger in the Court
79,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Majestic Nightmare Visage\Cup-and-Staff Trickster Saga.md,Cup-and-Staff Trickster Saga, Becoming Midnight’s Childe
80,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Majestic Nightmare Visage\Endless Dreaming Masquerade.md,Endless Dreaming Masquerade, A Stranger in the Court
81,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Majestic Nightmare Visage\Raiment of Sundered Truths.md,Raiment of Sundered Truths, Cup-and-Staff Trickster Saga
82,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Majestic Nightmare Visage\Ring-and-Sword Intrigues.md,Ring-and-Sword Intrigues, Shadow-Prince Conspiracy
83,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Majestic Nightmare Visage\Shadow-Prince Conspiracy.md,Shadow-Prince Conspiracy, Raiment of Sundered Truths
84,"C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Seralawi, the Earth’s Beating Heart\Earth’s Heart Awakens.md",Earth’s Heart Awakens,Unfaltering Sentinel Attitude
85,"C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Seralawi, the Earth’s Beating Heart\Iron Will Aegis.md",Iron Will Aegis, Kinetic Armor Reinforcement
86,"C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Seralawi, the Earth’s Beating Heart\Unfaltering Sentinel Attitude.md",Unfaltering Sentinel Attitude, Kinetic Armor Reinforcement
87,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Sunset Blaze\Dragon-General Puissance.md,Dragon-General Puissance, Scarlet Banner Inspiration
88,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Sunset Blaze\General-Demoting Joust.md,General-Demoting Joust, Streaming Flames Spear
89,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Sunset Blaze\Pride of the Greatest General.md,Pride of the Greatest General,Rising Phoenix
90,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Sunset Blaze\Rally the Upright Soldier.md,Rally the Upright Soldier, Scarlet Banner Inspiration
91,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Sunset Blaze\Rising Phoenix Banner.md,Rising Phoenix Banner, Rally the Upright Soldier
92,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Sunset Blaze\Safety in Numbers.md,Safety in Numbers, Rally the Upright Soldier
93,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\Sunset Blaze\Streaming Flames Spear.md,Streaming Flames Spear, Scarlet Banner Inspiration
94,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Dragon-Dancer’s Wings\Banu and Rekal Dancing as One.md,Banu and Rekal Dancing as One,Boreal Winds Grace
95,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Dragon-Dancer’s Wings\Blazing Summer Samba.md,Blazing Summer Samba, Passion-Flaring Flamenco
96,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Dragon-Dancer’s Wings\Boreal Winds Grace.md,Boreal Winds Grace, Soothing Snowfall Waltz
97,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Dragon-Dancer’s Wings\Fire-and-Ice Pavane.md,Fire-and-Ice Pavane, Soul-Stirring Performance
98,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Dragon-Dancer’s Wings\Passion-Flaring Flamenco.md,Passion-Flaring Flamenco, Fire-and-Ice Pavane
99,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Revelation Sphere\At the Labyrinth’s Frozen Heart.md,At the Labyrinth’s Frozen Heart,Unyielding Obsession Aegis
100,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Revelation Sphere\Dreaming Dragon’s Eye.md,Dreaming Dragon’s Eye, Fivefold Resonance Sense
101,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Revelation Sphere\Horizons Beyond Horizons.md,Horizons Beyond Horizons, A Dream of Ancient Ice
102,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\The Revelation Sphere\Unyielding Obsession Aegis.md,Unyielding Obsession Aegis, Horizons Beyond Horizons
103,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\White Lizard’s Tongue\Aurochs-King Prowess.md,Aurochs-King Prowess,any one Charm
104,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\White Lizard’s Tongue\Demon-Wrangling Rope Trick.md,Demon-Wrangling Rope Trick,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/White Lizard’s Tongue/Master Herder’s Brand
105,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\White Lizard’s Tongue\Find the Stray Calf.md,Find the Stray Calf,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/White Lizard’s Tongue/Master Herder’s Brand
106,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\White Lizard’s Tongue\Scourge of Rustlers.md,Scourge of Rustlers,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/White Lizard’s Tongue/Master Herder’s Brand
107,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\White Lizard’s Tongue\Stampede-Quelling Assurance.md,Stampede-Quelling Assurance,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/White Lizard’s Tongue/Find the Stray Calf
108,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power (Heirs)\White Lizard’s Tongue\World-Shaking Whipcrack.md,World-Shaking Whipcrack,Items/Artifacts & Evocations/Heirlooms of Power (Heirs)/White Lizard’s Tongue/Scourge of Rustlers
109,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Ajelin of Accursed Silver\A Sword’s Purpose.md,A Sword’s Purpose, Accursed Blade Embodiment
110,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Ajelin of Accursed Silver\Armored Blade-Beast Transformation.md,Armored Blade-Beast Transformation,Sheathed in Moonsilver
111,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Ajelin of Accursed Silver\Harbinger of Slaughter.md,Harbinger of Slaughter, Unhesitating Blade
112,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Ajelin of Accursed Silver\Living Weapon Perfection.md,Living Weapon Perfection,Sheathed in Moonsilver
113,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Ajelin of Accursed Silver\Mastering Cursed Silver.md,Mastering Cursed Silver, Last Warrior’s Unity
114,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Ajelin of Accursed Silver\Sheathed in Moonsilver.md,Sheathed in Moonsilver, Accursed Blade Embodiment
115,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Ajelin of Accursed Silver\Unhesitating Blade.md,Unhesitating Blade, A Sword’s Purpose
116,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Azure Scorpion Gauntlets\Flying Scorpion Chain.md,Flying Scorpion Chain, Prey-Dragging Barb
117,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Azure Scorpion Gauntlets\Prey-Dragging Barb.md,Prey-Dragging Barb, Distant Claw Retrieval
118,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Azure Scorpion Gauntlets\The Scorpion Awakens.md,The Scorpion Awakens,Thousand Venoms Sting
119,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Moonlit Treasure Panoply\Azure Scorpion Gauntlets\Thousand Venoms Sting.md,Thousand Venoms Sting,Scorpion-Soul Communion
